,Grid Coordinates,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,"(8.5, 73.5)",181,222,231,205,209,223,190,199,198,214,240,166,205,200,189,325,213,164,198,277,251,193,214,210,198,242,244,230,191,128
1,"(8.5, 76.5)",182,223,231,226,198,307,190,319,315,214,241,166,312,309,289,363,214,323,313,126,329,268,174,82,101,233,365,306,163,332
2,"(8.5, 77.5)",317,10,341,314,198,307,190,319,357,316,310,346,312,309,289,363,288,323,313,306,329,301,353,329,101,331,365,306,163,332
3,"(8.5, 78.5)",315,10,341,314,347,7,18,319,357,315,20,346,312,309,2,363,357,33,313,306,329,14,353,331,311,337,331,305,338,332
4,"(9.5, 76.5)",182,223,231,205,209,307,190,319,315,214,240,166,312,308,289,363,214,229,198,306,329,147,173,82,198,233,365,306,163,332
5,"(9.5, 77.5)",315,10,341,314,198,307,302,319,315,316,310,346,312,309,289,363,288,323,313,306,329,322,353,329,311,331,365,306,163,332
6,"(9.5, 78.5)",314,10,341,314,320,7,19,319,357,315,20,345,311,309,326,363,357,33,313,311,329,6,353,331,356,337,305,305,338,332
7,"(9.5, 79.5)",315,12,341,314,320,7,319,343,354,315,311,345,311,309,326,363,358,33,340,311,345,6,353,331,349,335,305,305,338,332
8,"(10.5, 75.5)",182,180,231,231,209,164,190,320,314,209,240,168,220,180,199,239,214,229,173,217,214,194,173,183,275,242,365,306,200,128
9,"(10.5, 76.5)",182,180,341,231,209,8,190,320,314,212,240,169,220,180,199,363,214,229,198,217,329,322,353,82,312,233,365,305,200,128
10,"(10.5, 77.5)",313,12,341,314,339,8,320,319,313,315,20,345,313,308,326,363,358,305,313,311,329,312,353,331,312,335,365,305,347,332
11,"(10.5, 78.5)",314,12,341,314,354,8,319,319,357,315,310,345,312,309,326,363,358,305,313,311,329,6,353,331,350,335,305,305,320,332
12,"(10.5, 79.5)",314,12,340,314,320,7,319,343,357,315,310,345,311,308,326,363,358,33,313,311,313,6,353,331,350,338,357,305,320,332
13,"(11.5, 72.5)",203,217,227,231,229,223,214,204,207,209,243,168,182,210,203,238,214,287,173,217,173,258,214,227,275,238,244,239,169,195
14,"(11.5, 75.5)",214,180,231,231,205,164,189,321,207,195,240,167,220,180,203,237,214,287,173,218,173,259,173,210,275,237,365,306,200,194
15,"(11.5, 76.5)",182,180,358,231,209,7,303,320,314,209,240,168,220,308,203,237,216,287,198,218,329,151,353,210,312,311,365,305,200,332
16,"(11.5, 77.5)",315,180,341,314,204,8,320,319,339,315,20,346,313,308,326,364,358,34,313,311,329,312,354,331,312,311,365,305,320,332
17,"(11.5, 78.5)",314,13,340,314,354,331,320,319,357,315,19,345,341,308,326,364,358,305,313,311,329,6,353,332,350,311,364,305,320,332
18,"(11.5, 79.5)",314,13,340,314,354,7,302,320,357,315,19,346,341,308,326,364,358,34,313,311,313,6,354,331,351,311,364,305,320,332
19,"(12.5, 74.5)",214,225,227,231,229,223,189,204,207,195,243,197,182,180,203,190,215,287,173,218,206,258,214,226,189,237,214,170,200,194
20,"(12.5, 75.5)",180,226,231,231,205,227,303,204,207,195,243,167,239,180,203,190,215,222,173,218,206,258,173,227,274,237,215,306,200,194
21,"(12.5, 76.5)",215,226,344,201,204,8,303,322,314,306,193,346,341,345,327,336,291,224,294,218,328,259,353,332,312,311,365,306,200,191
22,"(12.5, 77.5)",318,15,341,313,204,8,320,319,339,310,20,346,341,345,327,365,358,34,294,311,328,322,353,332,312,311,365,305,320,332
23,"(12.5, 78.5)",318,14,341,313,318,306,320,320,339,310,20,346,341,345,327,365,358,305,294,311,328,345,353,332,351,311,364,305,320,332
24,"(12.5, 79.5)",318,14,339,313,317,306,319,320,355,357,19,346,341,345,327,365,358,305,349,311,301,302,353,332,351,340,364,305,320,332
25,"(12.5, 80.5)",318,17,304,313,317,306,319,320,355,357,19,346,341,344,326,56,358,305,349,311,311,302,353,331,351,340,364,305,320,332
26,"(13.5, 74.5)",214,226,227,231,231,227,192,204,207,181,243,197,182,257,205,190,215,222,187,218,206,258,217,227,274,238,166,306,200,241
27,"(13.5, 75.5)",214,225,227,201,231,227,198,204,207,195,201,277,185,181,203,190,216,222,197,218,206,258,261,223,274,237,215,306,200,240
28,"(13.5, 76.5)",215,15,344,201,204,227,303,321,314,197,201,346,235,345,327,336,216,222,294,218,328,209,353,333,274,312,330,306,200,240
29,"(13.5, 77.5)",318,15,343,348,198,8,320,321,339,310,20,346,341,345,327,365,358,306,294,312,328,322,353,332,312,311,364,306,320,317
30,"(13.5, 78.5)",318,14,343,313,198,306,320,320,339,310,20,346,341,345,327,365,358,306,294,312,301,302,353,332,312,340,364,305,320,332
31,"(13.5, 79.5)",318,14,343,313,317,306,319,320,355,357,19,348,341,345,357,365,358,306,349,312,301,301,353,332,351,340,364,305,320,332
32,"(13.5, 80.5)",318,14,339,313,317,306,319,322,355,357,19,348,341,344,327,335,358,314,349,312,301,301,353,332,351,340,364,305,320,332
33,"(14.5, 74.5)",178,225,227,244,205,227,191,204,245,182,292,277,182,211,205,191,216,222,182,217,206,221,216,223,274,238,166,306,193,240
34,"(14.5, 75.5)",214,225,227,244,205,227,198,323,245,195,201,277,213,210,205,191,216,222,188,217,206,217,262,223,274,312,166,306,193,240
35,"(14.5, 76.5)",214,15,349,201,205,227,321,322,315,195,201,293,213,345,327,195,216,222,235,217,264,209,261,223,274,312,239,306,228,240
36,"(14.5, 77.5)",318,15,343,348,198,227,321,322,339,306,242,349,11,345,327,336,291,306,295,255,328,2,353,333,274,341,331,306,228,347
37,"(14.5, 78.5)",318,15,343,313,317,306,320,322,315,310,18,349,11,345,327,365,358,306,295,312,301,302,353,333,312,340,364,306,295,317
38,"(14.5, 79.5)",318,17,343,313,317,306,320,322,355,305,18,348,11,345,327,236,357,306,350,312,301,302,353,332,351,340,364,306,320,332
39,"(14.5, 80.5)",318,17,343,348,317,319,320,322,355,305,18,348,10,311,356,236,357,306,350,312,301,301,353,332,351,340,364,306,295,362
40,"(15.5, 73.5)",201,225,233,231,205,229,191,246,245,182,285,277,213,211,205,191,216,222,182,255,208,276,262,224,276,238,195,170,204,240
41,"(15.5, 74.5)",201,226,233,244,205,227,198,204,245,182,285,277,213,211,205,191,216,222,182,255,208,221,262,223,276,238,195,170,193,240
42,"(15.5, 75.5)",214,226,319,349,205,227,198,323,215,195,201,277,213,210,205,224,216,222,235,255,208,217,262,223,273,206,195,306,193,240
43,"(15.5, 76.5)",214,16,319,349,205,227,321,323,342,307,18,294,11,288,327,224,216,222,235,255,264,209,261,321,273,341,239,306,192,298
44,"(15.5, 77.5)",349,16,318,349,205,227,321,322,315,307,18,294,11,345,327,224,280,222,235,255,264,307,261,333,273,341,331,306,228,299
45,"(15.5, 78.5)",349,16,318,349,204,227,321,322,315,306,18,349,11,345,327,236,280,222,360,255,264,307,353,333,351,341,331,306,192,299
46,"(15.5, 79.5)",349,16,318,348,204,227,321,322,340,306,18,294,10,304,238,236,357,8,360,312,301,301,353,333,351,341,331,306,192,299
47,"(15.5, 80.5)",349,16,318,348,204,227,321,321,340,306,18,340,10,304,281,224,357,306,350,312,301,301,353,222,351,340,5,306,295,67
48,"(16.5, 73.5)",201,225,233,232,205,229,198,246,245,182,245,205,213,211,205,225,216,222,182,255,266,221,262,224,189,243,195,170,204,240
49,"(16.5, 74.5)",201,225,233,232,205,229,198,246,215,195,245,205,213,211,203,225,216,222,182,255,208,221,262,224,276,206,195,170,204,240
50,"(16.5, 75.5)",212,16,319,349,205,227,198,323,342,195,18,205,213,211,222,195,216,222,236,255,208,218,181,223,276,183,239,306,204,240
51,"(16.5, 76.5)",227,16,319,349,205,227,321,323,342,307,18,241,11,211,253,224,216,222,236,255,264,218,261,333,273,341,239,306,193,299
52,"(16.5, 77.5)",227,16,318,349,205,227,321,323,341,307,18,294,11,288,253,224,216,222,236,255,264,216,261,333,273,341,194,306,193,299
53,"(16.5, 78.5)",2,16,318,349,205,227,321,323,341,307,18,241,11,211,253,224,3,222,361,255,264,216,260,222,245,341,194,306,193,299
54,"(16.5, 79.5)",349,16,318,349,204,227,321,322,340,306,18,294,11,304,281,224,357,8,361,255,264,301,260,333,351,341,194,306,192,299
55,"(16.5, 80.5)",349,16,318,348,204,227,321,323,340,306,18,340,10,304,281,224,357,8,350,312,264,215,303,222,351,341,194,306,192,67
56,"(16.5, 81.5)",3,16,317,211,204,297,321,321,340,306,18,340,10,304,281,224,357,7,350,312,264,215,303,222,351,340,6,11,296,67
