,District Name,District Centroid Lat.,District Centroid Lng.,Grid Centroid Lat.,Grid Centroid Lng.
0,Andaman and NicobarNicobar Islands,7.835216013528471,93.51160329114393,7.5,93.5
1,Andaman and NicobarNorth and Middle Andaman,12.870385787466317,92.8925393406819,12.5,92.5
2,Andaman and NicobarSouth Andaman,11.711726310280326,92.72715258715576,11.5,92.5
3,Andhra PradeshAnantapur,14.31085098607923,77.45996468747782,14.5,77.5
4,Andhra PradeshChittoor,13.329956113556136,78.92756954229651,13.5,78.5
5,Andhra PradeshEast Godavari,16.782669504976116,82.24313166851945,16.5,82.5
6,Andhra PradeshGuntur,15.884550528004157,80.58683637575525,15.5,80.5
7,Andhra PradeshKrishna,16.143589269959318,81.14809426265968,16.5,81.5
8,Andhra PradeshKurnool,15.436146438680668,77.89826505524746,15.5,77.5
9,Andhra PradeshNellore,13.995249108888588,80.12027089573095,13.5,80.5
10,Andhra PradeshPrakasam,15.48869357608917,80.11679268597976,15.5,80.5
11,Andhra PradeshSrikakulam,18.570744066563996,84.25860099339707,18.5,84.5
12,Andhra PradeshVisakhapatnam,17.6466132673954,83.01014708926496,17.5,83.5
13,Andhra PradeshVizianagaram,18.28275134179287,83.4598448850335,18.5,83.5
14,Andhra PradeshWest Godavari,16.63125818906543,81.45934603442377,16.5,81.5
15,Andhra PradeshY.S.R.,14.48823424151103,78.69530765573853,14.5,78.5
16,Arunachal PradeshAnjaw,28.052787600722237,96.95527941377784,28.5,96.5
17,Arunachal PradeshChanglang,27.355309800097732,96.36540531574923,27.5,96.5
18,Arunachal PradeshDibang Valley,29.01778386175479,95.98845509355766,29.5,95.5
19,Arunachal PradeshEast Kameng,27.37119312552445,93.04741560681819,27.5,93.5
20,Arunachal PradeshEast Siang,28.151219453046153,95.06842862633837,28.5,95.5
21,Arunachal PradeshKurung Kumey,28.04782021476584,93.24780546674936,28.5,93.5
22,Arunachal PradeshLohit,27.862390194878788,96.1855878654848,27.5,96.5
23,Arunachal PradeshLongding,26.883221479030826,95.31383574903077,26.5,95.5
24,Arunachal PradeshLower Dibang Valley,28.32263085281786,95.76442744704472,28.5,95.5
25,Arunachal PradeshLower Subansiri,27.70759832064865,93.96168757308112,27.5,93.5
26,Arunachal PradeshNamsai,27.663983219245278,95.89393003896225,27.5,95.5
27,Arunachal PradeshPapum Pare,27.273418345353747,93.54440122299525,27.5,93.5
28,Arunachal PradeshTawang,27.589706952873758,91.76410649969249,27.5,91.5
29,Arunachal PradeshTirap,27.049105926477992,95.51735356213833,27.5,95.5
30,Arunachal PradeshUpper Siang,28.829405465126897,95.00077080104062,28.5,95.5
31,Arunachal PradeshUpper Subansiri,28.2740779959787,93.90218030251063,28.5,93.5
32,Arunachal PradeshWest Kameng,27.346996270531367,92.37977400346857,27.5,92.5
33,Arunachal PradeshWest Siang,28.103570678333345,94.53663240116495,28.5,94.5
34,AssamBaksa,26.618661774876177,91.26481846379046,26.5,91.5
35,AssamBarpeta,26.425499320170594,91.0005890088059,26.5,91.5
36,AssamBongaigaon,26.383349526874987,90.62985901403407,26.5,90.5
37,AssamCachar,24.83151592422679,92.80944030788656,24.5,92.5
