,Grid Coordinates,Value,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,"(8.5, 73.5)",34.17,9,20,48,17,2,4,31,9,15,4,7,13,10,63,7,3,0,18,20,29,17,6,32,0,31,51,6,19,33,26
1,"(8.5, 76.5)",33.42,14,18,38,19,14,12,24,22,13,14,2,18,9,63,6,6,3,6,14,16,21,4,14,1,26,58,6,22,36,32
2,"(8.5, 77.5)",35.45,26,29,33,17,17,17,21,22,15,14,1,19,12,57,3,11,9,10,15,13,25,4,13,1,18,49,5,17,36,26
3,"(8.5, 78.5)",35.81,26,20,27,18,18,11,28,14,15,8,0,12,14,42,3,16,15,12,19,6,15,12,24,3,17,37,16,30,38,37
4,"(9.5, 76.5)",33.98,15,24,41,11,11,9,25,36,21,3,5,16,4,55,10,2,5,11,11,23,11,1,17,0,31,56,11,28,34,32
5,"(9.5, 77.5)",34.36,22,26,29,16,14,15,20,18,21,11,1,26,13,56,3,11,6,8,22,14,20,6,18,4,20,46,5,20,36,25
6,"(9.5, 78.5)",35.63,33,29,31,16,20,11,22,10,19,3,3,21,11,47,3,15,18,9,16,8,13,7,20,6,14,22,21,33,39,34
7,"(9.5, 79.5)",37.23,26,23,28,18,19,11,22,6,15,7,1,19,12,44,5,18,25,22,15,7,14,17,22,16,12,23,19,36,29,23
8,"(10.5, 75.5)",33.16,15,38,44,20,17,5,32,23,19,4,10,17,7,56,8,1,3,19,20,26,18,0,17,0,19,46,0,12,23,37
9,"(10.5, 76.5)",32.23,22,31,39,19,16,8,30,34,20,2,6,17,5,53,7,1,6,12,25,23,15,0,19,2,18,42,0,14,36,33
10,"(10.5, 77.5)",34.9,34,40,32,10,32,13,34,24,26,6,3,20,5,41,6,3,13,7,22,22,13,1,21,4,13,39,1,9,39,23
11,"(10.5, 78.5)",38.12,33,23,37,17,26,9,25,14,17,7,0,20,8,44,4,20,18,11,22,6,13,10,22,14,14,29,8,28,38,18
12,"(10.5, 79.5)",37.5,23,28,29,21,18,15,20,7,16,9,3,17,8,35,5,20,20,23,23,6,13,17,20,17,17,20,15,36,29,26
13,"(11.5, 72.5)",33.44,8,25,25,5,2,2,12,2,11,1,10,6,9,53,28,5,0,28,25,30,36,11,46,6,24,55,8,21,36,29
14,"(11.5, 75.5)",32.51,15,41,38,8,19,5,33,26,18,6,9,12,3,57,8,1,9,19,28,34,16,3,21,1,19,40,0,14,19,32
15,"(11.5, 76.5)",33.15,18,37,37,18,20,12,33,29,24,6,8,14,3,49,11,1,6,13,21,28,10,4,20,2,14,37,0,13,31,34
16,"(11.5, 77.5)",34.84,25,34,32,15,27,17,39,29,26,8,3,17,2,32,9,6,7,9,27,26,8,3,17,4,14,35,0,15,38,27
17,"(11.5, 78.5)",38.77,31,18,33,15,31,12,25,14,20,11,4,21,9,36,5,15,13,16,28,7,10,12,19,15,13,31,7,29,33,20
18,"(11.5, 79.5)",37.79199999999999,22,30,32,19,15,16,13,9,10,10,8,22,12,30,4,15,19,20,32,6,15,13,24,17,20,17,15,34,23,26
19,"(12.5, 74.5)",33.4,6,34,31,7,6,7,9,7,10,4,14,14,3,53,26,3,3,35,21,25,20,7,32,2,28,44,4,25,42,29
20,"(12.5, 75.5)",33.47,9,34,38,8,11,10,15,17,15,5,12,14,1,52,24,3,6,18,19,27,16,14,28,2,25,40,5,28,31,27
21,"(12.5, 76.5)",32.28,22,36,30,18,20,17,21,29,19,5,3,20,6,49,19,6,8,10,22,22,16,15,19,2,18,29,0,13,29,30
22,"(12.5, 77.5)",36.13199999999999,25,33,22,15,29,19,29,25,26,23,5,29,8,36,13,9,5,9,26,21,14,10,7,2,14,30,1,12,30,21
23,"(12.5, 78.5)",37.74399999999998,20,19,20,8,33,13,30,14,26,10,4,28,11,34,11,18,11,16,28,13,9,14,16,14,19,32,6,23,33,15
