,Grid Coordinates,Value,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,"(8.5, 73.5)",28.86,23,20,5,16,30,19,16,38,31,23,17,22,14,15,26,20,23,11,12,8,21,16,25,16,10,11,6,7,30,10
1,"(8.5, 76.5)",28.620000000000005,22,20,5,11,20,13,29,32,32,12,9,26,11,23,22,30,15,10,9,13,22,25,28,21,14,16,11,11,20,18
2,"(8.5, 77.5)",30.33,29,14,7,6,13,14,28,41,38,10,9,28,5,30,15,19,6,13,9,17,25,19,22,29,14,23,16,10,11,26
3,"(8.5, 78.5)",29.82,36,13,14,10,10,19,26,29,42,13,6,23,14,24,20,16,7,13,10,15,28,15,13,27,16,25,18,13,6,24
4,"(9.5, 76.5)",28.2,22,20,6,14,21,21,26,28,34,16,13,30,14,20,24,27,16,10,8,17,19,20,29,14,11,18,8,8,18,13
5,"(9.5, 77.5)",29.06,24,16,6,9,13,14,25,33,41,8,8,29,6,33,11,16,10,14,7,14,26,16,23,32,20,22,16,11,14,28
6,"(9.5, 78.5)",28.17,31,17,13,10,14,26,21,28,35,15,7,28,13,19,21,17,18,13,11,26,29,12,13,24,14,24,18,6,6,18
7,"(9.5, 79.5)",29.2,33,19,11,9,12,24,24,31,45,18,10,22,15,19,20,16,16,11,12,21,21,7,14,18,19,28,15,7,7,23
8,"(10.5, 75.5)",26.8,24,19,3,17,22,21,23,29,25,21,13,26,16,10,22,28,15,13,11,7,20,20,28,16,19,13,12,12,28,9
9,"(10.5, 76.5)",25.74,24,17,6,14,16,21,25,31,35,21,11,35,13,21,20,26,13,10,8,11,28,16,24,20,15,20,10,9,18,7
10,"(10.5, 77.5)",27.08,22,11,14,10,14,26,25,31,37,17,8,31,13,23,23,16,20,9,8,20,30,14,15,21,14,26,14,8,8,18
11,"(10.5, 78.5)",29.44,25,19,12,9,17,27,22,30,48,16,8,24,11,19,22,17,15,11,11,21,26,9,14,18,21,27,16,6,7,19
12,"(10.5, 79.5)",29.088,32,21,10,10,18,22,21,23,40,20,13,22,14,18,16,20,16,13,13,21,20,8,13,20,23,28,18,7,8,20
13,"(11.5, 72.5)",26.82,18,23,5,15,26,28,20,30,23,27,20,26,19,15,20,23,12,13,7,7,14,10,24,16,21,7,16,15,25,20
14,"(11.5, 75.5)",25.54,24,23,4,13,23,20,21,31,20,25,14,25,11,12,17,30,16,12,9,6,15,16,31,16,23,14,16,16,29,14
15,"(11.5, 76.5)",25.77,18,20,5,13,15,22,25,26,18,21,7,34,6,14,18,32,15,12,11,8,34,11,31,22,21,24,14,12,26,9
16,"(11.5, 77.5)",26.77,13,14,13,11,13,22,29,18,27,21,8,29,9,21,16,28,26,15,9,25,34,25,30,19,12,22,11,6,4,14
17,"(11.5, 78.5)",29.27,21,16,10,8,12,23,23,21,40,19,10,31,14,21,26,21,20,13,11,17,34,14,16,16,19,24,17,7,6,16
18,"(11.5, 79.5)",28.96,25,23,12,9,12,19,18,11,35,19,12,26,17,20,24,22,26,23,5,16,29,11,16,19,23,25,16,7,7,17
19,"(12.5, 74.5)",25.56,16,21,5,19,26,31,25,29,20,34,22,19,17,12,19,26,13,11,5,8,14,9,22,16,24,9,15,15,28,15
20,"(12.5, 75.5)",25.49,15,21,6,17,25,30,28,32,15,32,20,21,11,11,17,24,14,12,7,8,18,10,24,17,28,7,13,18,29,17
21,"(12.5, 76.5)",24.2,15,25,9,12,20,24,28,27,20,24,11,24,5,17,13,33,15,11,5,15,25,4,28,27,22,27,12,12,21,12
22,"(12.5, 77.5)",27.02,11,25,19,14,11,18,31,25,27,18,6,29,13,17,24,27,25,15,8,15,37,18,25,17,17,22,10,8,4,11
23,"(12.5, 78.5)",27.608,20,20,19,10,15,23,28,24,32,21,12,33,18,17,29,23,23,12,5,11,34,17,19,13,17,21,9,5,5,13
24,"(12.5, 79.5)",28.870000000000005,21,27,23,8,14,19,18,18,36,19,14,34,21,19,30,17,24,16,2,9,33,14,18,13,19,23,15,6,5,18
25,"(12.5, 80.5)",28.828,23,28,22,8,16,20,16,16,35,22,14,32,22,19,27,17,22,21,3,9,29,13,15,14,21,24,15,6,3,16
26,"(13.5, 74.5)",25.5,16,20,5,17,24,33,27,29,17,29,22,18,18,15,21,27,13,10,7,11,14,7,26,16,22,13,16,10,27,16
27,"(13.5, 75.5)",25.27,11,20,5,12,24,32,33,29,17,26,19,18,19,15,22,31,15,9,5,14,15,9,24,18,22,12,14,11,26,16
28,"(13.5, 76.5)",26.07,10,22,9,17,24,28,35,32,19,25,11,24,4,15,15,32,14,9,5,17,28,6,30,19,24,12,10,9,25,12
29,"(13.5, 77.5)",26.28,13,25,24,18,17,24,33,24,27,26,7,30,10,16,20,20,15,12,5,16,28,6,33,16,18,23,11,8,9,11
30,"(13.5, 78.5)",27.238,22,21,21,15,13,22,27,23,25,24,10,36,18,18,29,22,24,17,5,13,29,14,17,8,16,21,11,6,5,16
31,"(13.5, 79.5)",28.129999999999995,23,28,25,11,15,22,19,24,29,25,10,33,22,17,23,17,26,17,6,9,28,11,13,10,20,24,15,7,3,13
32,"(13.5, 80.5)",28.9,25,31,26,12,17,21,16,16,29,30,17,32,26,17,19,14,29,20,6,8,27,9,11,9,19,23,10,8,4,15
33,"(14.5, 74.5)",26.96,15,20,7,18,19,30,18,21,20,29,21,17,16,11,24,29,10,12,8,13,16,11,21,20,23,18,20,9,30,21
34,"(14.5, 75.5)",26.41,10,25,4,17,23,36,38,25,20,34,13,24,11,10,21,29,7,6,1,16,14,10,25,21,20,15,13,9,26,15
35,"(14.5, 76.5)",26.54,9,23,5,20,19,36,35,22,22,28,11,23,5,11,16,31,11,7,4,14,27,3,29,23,22,19,11,10,29,16
36,"(14.5, 77.5)",27.98,16,26,26,26,15,32,34,28,30,31,9,34,14,15,11,20,14,11,7,10,27,2,19,9,15,21,6,6,17,16
37,"(14.5, 78.5)",28.11,19,26,21,20,20,28,25,19,29,31,15,34,17,16,23,18,22,20,7,11,24,13,16,9,13,19,6,6,7,13
38,"(14.5, 79.5)",28.78,24,30,25,16,19,30,23,18,26,31,20,34,20,14,20,15,25,19,8,8,29,9,12,6,11,17,8,7,9,12
39,"(14.5, 80.5)",29.03,26,29,25,15,17,26,26,24,24,35,22,34,26,13,18,15,27,21,10,8,25,10,13,7,8,13,4,7,7,12
40,"(15.5, 73.5)",27.467999999999996,26,18,6,23,26,21,13,14,25,22,18,17,16,10,27,29,14,15,5,15,18,13,19,21,19,16,22,8,33,19
41,"(15.5, 74.5)",27.3,18,20,4,21,23,21,18,17,27,24,17,17,16,10,27,27,13,15,7,13,17,17,20,20,20,16,22,7,32,18
42,"(15.5, 75.5)",27.6,14,24,5,20,22,31,27,19,25,35,17,22,14,8,22,28,10,9,1,12,16,16,20,23,19,20,15,8,25,19
43,"(15.5, 76.5)",28.47,11,23,20,31,20,18,34,29,33,29,13,25,10,11,6,23,12,10,5,9,24,10,23,17,17,25,7,9,25,15
44,"(15.5, 77.5)",29.04,10,24,25,26,27,28,29,31,30,24,14,31,17,17,8,17,14,13,12,9,21,7,18,10,13,22,5,7,23,15
45,"(15.5, 78.5)",29.51,15,24,26,26,24,29,32,31,29,31,17,28,23,18,12,16,19,14,11,8,17,6,15,8,7,14,3,10,17,16
46,"(15.5, 79.5)",29.45,16,26,23,24,27,28,38,24,23,30,30,29,28,18,15,20,18,14,11,7,17,7,10,8,3,12,2,8,14,14
47,"(15.5, 80.5)",28.98,17,24,18,15,25,27,37,26,22,29,37,30,32,18,19,22,21,14,14,13,16,7,9,7,2,14,0,6,10,14
48,"(16.5, 73.5)",27.76,29,21,3,17,24,22,16,15,30,26,13,9,15,4,29,27,11,19,3,13,21,20,16,27,17,13,23,8,30,21
49,"(16.5, 74.5)",27.248,20,20,2,18,20,21,24,16,31,30,18,18,12,4,27,23,12,18,4,13,20,28,18,21,16,14,21,8,28,23
50,"(16.5, 75.5)",27.467999999999996,20,23,9,23,19,28,31,19,21,29,23,12,7,7,26,27,11,18,5,14,23,23,13,18,14,16,15,10,23,21
51,"(16.5, 76.5)",28.629999999999995,13,24,22,29,25,22,27,24,36,27,20,20,15,13,13,19,14,20,7,8,20,18,11,15,14,22,5,4,21,16
52,"(16.5, 77.5)",28.54,12,26,33,35,28,30,27,28,28,29,17,19,19,11,8,16,11,18,10,8,16,13,12,13,11,20,6,4,22,17
53,"(16.5, 78.5)",28.49,13,26,35,31,28,27,31,28,23,28,23,15,22,16,10,17,13,14,10,8,18,9,13,13,7,19,3,4,19,17
54,"(16.5, 79.5)",28.97,16,25,21,23,25,24,38,32,23,32,30,18,30,19,16,19,15,15,15,12,19,10,6,10,3,13,1,7,14,16
55,"(16.5, 80.5)",29.0,15,26,20,16,23,25,41,31,20,27,34,28,29,20,19,20,15,15,15,13,14,11,7,8,2,14,2,4,13,16
56,"(16.5, 81.5)",28.81,16,32,18,10,21,23,40,29,21,26,32,29,31,16,17,21,14,12,21,15,17,12,3,9,1,18,4,6,7,20
57,"(16.5, 82.5)",28.598000000000003,10,36,19,11,20,23,37,30,17,27,35,29,24,10,16,18,17,13,26,21,27,12,3,11,3,16,4,5,6,22
58,"(17.5, 73.5)",26.45,29,25,6,13,21,26,28,18,16,25,12,13,16,10,21,17,18,18,4,15,30,22,12,25,15,15,16,9,27,24
59,"(17.5, 74.5)",26.85,27,21,4,18,20,26,36,18,22,26,19,9,13,7,28,24,12,16,4,12,25,25,11,24,14,17,14,8,22,22
60,"(17.5, 75.5)",28.39,22,20,21,23,27,26,40,18,24,27,20,10,14,8,19,19,12,12,7,12,31,24,13,20,8,16,9,4,21,20
61,"(17.5, 76.5)",28.58,11,25,31,33,36,27,24,20,31,25,24,15,17,10,14,14,17,21,9,12,21,15,5,14,9,17,6,4,21,19
62,"(17.5, 77.5)",28.08,14,26,31,32,29,28,28,24,25,27,24,14,18,11,15,16,14,20,8,11,18,16,3,14,6,21,5,4,22,22
63,"(17.5, 78.5)",28.16,16,24,35,28,32,27,25,26,25,27,26,9,24,15,20,17,14,17,12,13,17,12,3,13,1,17,4,5,19,17
64,"(17.5, 79.5)",28.68,14,27,30,23,30,25,32,26,20,32,34,11,24,20,21,19,14,16,13,14,15,11,3,12,0,15,3,6,21,14
65,"(17.5, 80.5)",28.35,14,26,21,15,24,17,36,22,21,33,27,27,28,23,22,18,14,14,16,20,14,15,4,12,0,16,3,7,18,17
66,"(17.5, 81.5)",27.918000000000003,15,34,20,10,22,17,38,22,17,28,34,27,23,13,14,12,13,13,27,26,29,16,5,8,0,21,4,8,13,19
67,"(17.5, 82.5)",27.51,14,34,22,7,17,17,35,25,15,26,38,24,25,10,10,7,14,13,30,25,31,15,5,12,2,25,6,9,12,20
68,"(17.5, 83.5)",27.24,13,31,25,4,23,17,32,26,13,20,31,21,33,9,8,5,12,17,30,24,34,15,4,11,3,28,8,11,13,20
69,"(18.5, 72.5)",27.23,22,19,12,11,14,29,27,16,16,23,11,13,17,16,11,15,18,20,7,18,25,25,8,41,12,14,18,10,32,19
70,"(18.5, 73.5)",26.938000000000002,24,26,12,11,19,27,37,18,18,21,11,13,15,12,12,16,15,15,7,16,23,26,10,30,14,19,16,11,31,23
71,"(18.5, 74.5)",27.128,23,30,9,19,22,33,34,18,17,22,16,9,13,9,14,17,16,17,7,16,26,19,9,27,13,20,15,10,26,22
72,"(18.5, 75.5)",28.25,8,24,26,23,25,24,34,18,34,27,19,6,17,9,13,13,15,23,7,16,27,19,11,20,10,21,10,5,21,21
73,"(18.5, 76.5)",28.328,8,24,32,25,34,28,28,21,27,27,25,12,26,7,15,13,16,21,11,13,23,15,2,14,6,20,8,4,19,24
74,"(18.5, 77.5)",27.97,10,26,32,26,34,31,24,21,23,27,27,7,26,9,14,17,16,18,12,14,25,13,6,16,3,16,6,6,19,23
75,"(18.5, 78.5)",27.958,11,28,29,21,25,28,29,17,23,30,30,9,22,11,17,15,15,19,22,16,28,16,5,9,4,16,7,4,22,20
76,"(18.5, 79.5)",28.42,14,29,33,18,25,20,26,15,20,33,31,9,20,14,20,13,13,18,25,21,25,16,7,11,2,20,6,5,18,18
77,"(18.5, 80.5)",27.97,17,29,20,15,27,17,34,15,19,33,33,14,30,13,20,11,15,11,22,19,22,15,4,13,1,18,5,12,18,20
78,"(18.5, 81.5)",27.648,12,34,20,13,18,17,34,19,18,27,29,13,28,13,12,11,13,12,23,23,27,19,4,12,3,28,8,18,19,21
79,"(18.5, 82.5)",27.56,11,33,24,6,23,9,32,19,18,28,30,21,35,9,11,5,16,16,26,18,34,18,3,10,2,30,7,16,15,21
80,"(18.5, 83.5)",27.11,9,31,29,8,18,12,31,17,18,21,30,13,35,14,11,8,15,17,32,22,33,14,2,11,1,31,10,18,13,21
81,"(18.5, 84.5)",27.620000000000005,6,34,30,9,15,10,30,15,15,15,30,12,36,16,9,10,14,16,30,21,31,14,2,19,3,39,16,16,14,25
82,"(19.5, 72.5)",28.15,18,22,8,10,14,23,26,16,10,28,18,12,17,16,15,11,14,31,7,20,33,23,8,34,9,14,19,16,35,19
83,"(19.5, 73.5)",27.84,14,21,9,8,17,25,42,15,12,28,17,12,14,11,11,11,17,30,6,20,26,26,7,33,12,16,16,17,36,17
84,"(19.5, 74.5)",27.84,9,23,15,17,21,24,43,18,16,25,19,10,19,10,10,9,16,24,7,19,28,23,5,27,11,18,10,14,32,22
85,"(19.5, 75.5)",27.94,6,23,21,14,26,18,35,17,28,35,21,7,23,13,22,8,10,28,10,19,20,17,8,19,9,18,11,11,22,25
86,"(19.5, 76.5)",27.86,11,24,27,21,27,29,30,15,24,31,23,3,22,11,20,12,14,24,11,16,21,15,6,18,9,20,12,5,23,22
87,"(19.5, 77.5)",27.99,12,26,29,16,26,30,22,14,23,29,27,5,27,12,20,13,13,26,15,17,25,16,3,17,4,19,9,8,21,20
88,"(19.5, 78.5)",28.258000000000003,14,28,34,14,21,27,29,15,20,35,27,5,27,13,20,13,14,24,17,19,23,16,4,13,3,16,7,6,24,20
89,"(19.5, 79.5)",28.04,11,34,31,14,19,23,26,15,19,33,31,9,36,14,21,10,10,17,22,20,27,16,5,11,3,21,8,8,12,20
90,"(19.5, 80.5)",27.26,13,36,23,8,12,9,25,13,10,35,31,8,29,15,21,9,6,19,22,26,40,17,10,11,4,20,12,20,23,16
91,"(19.5, 81.5)",27.418000000000003,13,37,29,11,16,9,31,14,18,32,25,11,35,10,15,7,11,16,23,24,36,16,4,9,5,28,9,19,12,23
92,"(19.5, 82.5)",26.8,13,32,32,6,19,9,31,11,18,21,30,12,39,19,9,6,14,11,28,18,35,12,2,12,3,33,11,22,18,21
93,"(19.5, 83.5)",27.4,9,34,30,6,24,10,30,10,16,16,27,14,39,23,9,6,15,15,30,22,31,11,1,14,2,35,14,19,14,21
94,"(19.5, 84.5)",27.34,4,33,30,7,22,9,32,10,16,15,25,8,40,21,11,10,13,13,27,21,28,11,2,15,3,39,18,18,15,24
95,"(19.5, 85.5)",26.92,6,32,29,6,16,10,30,11,16,16,28,7,42,24,11,13,16,14,29,22,18,6,4,18,2,37,17,20,16,30
96,"(20.5, 70.5)",28.02,22,23,12,4,24,12,29,19,4,17,27,7,32,19,16,8,10,19,11,18,31,13,15,32,3,22,11,26,25,35
